GameBoy Color Card Hero: Trading & Battle JAPAN en el embalaje usado COMO NUEVO;28,99 EUR;Envío internacional gratis;desde Alemania;
Nintendo GameBoy Color - Card Hero: Trading & Battle Japan Cartridge;13,01 EUR;+ 6,20 EUR de envío;desde Australia;
Card Hero: Trading & Battle JPN - Nintendo GameBoy Color - GBC - JP;11,66 EUR;+ 19,95 EUR de envío;desde Países Bajos;
Nintendo GameBoy Color - Card Hero: Trading & Battle JAPAN boxed  MINT CONDITION;22,71 EUR;Envío internacional gratis;desde Alemania;
